service_id,date,exception_type
平日,20231229,2
土日祝,20231229,1
平日,20240101,2
土日祝,20240101,1
平日,20240102,2
土日祝,20240102,1
平日,20240103,2
土日祝,20240103,1
平日,20240108,2
土日祝,20240108,1
平日,20240212,2
土日祝,20240212,1
平日,20240223,2
土日祝,20240223,1
平日,20240320,2
土日祝,20240320,1
平日,20240429,2
土日祝,20240429,1
平日,20240503,2
土日祝,20240503,1
平日,20240506,2
土日祝,20240506,1
平日,20240715,2
土日祝,20240715,1
平日,20240812,2
土日祝,20240812,1
平日,20240916,2
土日祝,20240916,1
平日,20240923,2
土日祝,20240923,1
平日,20241014,2
土日祝,20241014,1
平日,20241104,2
土日祝,20241104,1
